genus,family
Cyanothece,Cyanothecaceae
Merismopedia,Microcystaceae
Prochloron,Prochloraceae
Chroococcus,Chroococcaceae
Komvophoron,Gomontiellaceae
Pannus,Microcystaceae
Cyanodictyon,Cymatolegaceae
Lemmermanniella,Cymatolegaceae
Leptolyngbya,Leptolyngbyaceae
Aphanothece,Microcystaceae
Synechococcus,Synechococcaceae
Anathece,Prochloraceae
Microcystis,Microcystaceae
Rhabdoderma,Cymatolegaceae
Snowella,Microcystaceae
Lyngbya,Microcoleaceae
Phormidium,Oscillatoriaceae
Aphanocapsa,Microcystaceae
Synechocystis,Microcystaceae
Pseudanabaena,Pseudanabaenaceae
Coelosphaerium,Microcystaceae
Radiocystis,Microcystaceae
Pseudopedinella,Actinomonadaceae
Planktolyngbya,Leptolyngbyaceae
Anagnostidinema,Wilmottiaceae
Limnothrix,Pseudanabaenaceae
Achroonema,Pelonemataceae
Gloeocapsopsis,Aliterellaceae
Woronichinia,Coelosphaeriaceae
Nitzschia,Bacillariaceae
Oscillatoria,Oscillatoriaceae
Anabaena,Aphanizomenonaceae
Dolichospermum,Aphanizomenonaceae
Cyanobium,Prochloraceae
Kephyrion,Chrysococcaceae
Planothidium,Achnanthidiaceae
Calothrix,Rivulariaceae
Aphanizomenon,Aphanizomenonaceae
Coccomyxa,Coccomyxaceae
Pseudococcomyxa,Oocystaceae
Mantellum,Microcystaceae
Cylindrospermum,Aphanizomenonaceae
Chrysochromulina,Chrysochromulinaceae
Pseudokephyrion,Dinobryaceae
Uroglena,Ochromonadaceae
Gloeocapsa,Aliterellaceae
Gomphonema,Gomphonemataceae
Lemmermannia,Chroococcaceae
Planktothrix,Microcoleaceae
Stichococcus,Stichococcaceae
Pyramimonas,Pyramimonadaceae
Stephanodiscus,Stephanodiscaceae
Jaaginema,Synechococcales familia incertae sedis
Heterothrix,Tribonemataceae
Tribonema,Tribonemataceae
Johansenia,Microcoleaceae
Ochromonas,Ochromonadaceae
Chroomonas,Hemiselmidaceae
Sellaphora,Sellaphoraceae
Navicula,Naviculaceae
Geissleria,Naviculaceae
Fragilaria,Fragilariaceae
Staurosira,Fragilariaceae
Diploneis,Diploneidaceae
